City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,bairnsdale,-37.8333,147.6167,56.86,63,93,12.93,AU,1691642395
279,fort campbell north,36.6543,-87.4606,73.02,80,100,15.99,US,1691642395
280,kavieng,-2.5744,150.7967,82.92,75,100,16.04,PG,1691642397
281,utrik,11.2278,169.8474,83.16,71,59,12.35,MH,1691642233
282,margate,51.3813,1.3862,60.69,96,0,1.99,GB,1691642397
283,kargil,34.5667,76.1,67.17,35,17,2.42,IN,1691642398
284,alo,7.4178,6.7371,71.42,98,81,2.86,NG,1691642398
285,la passe,45.5549,-0.8967,67.98,68,9,7.38,FR,1691642398
286,tafuna,-14.3358,-170.72,84.15,84,75,5.75,AS,1691642398
287,bandarbeyla,9.4942,50.8122,81.16,60,85,27.07,SO,1691642399
288,at taj,24.2049,23.2857,84.25,30,2,10.09,LY,1691642399
289,parral,26.9333,-105.6667,72.37,55,56,11.34,MX,1691642181
290,zalari,53.5584,102.5065,77.16,42,99,10.76,RU,1691642399
291,maryborough,-25.5333,152.7,73.35,36,6,6.58,AU,1691642400
292,limassol,34.675,33.0333,80.67,78,20,1.14,CY,1691642400
293,kuching,1.55,110.3333,95.13,67,40,2.3,MY,1691642137
294,padang,-0.9492,100.3543,86.05,82,66,5.5,ID,1691642240
295,kourou,5.1552,-52.6478,75.25,91,20,7.16,GF,1691642401
296,paradip garh,20.3167,86.6167,91.42,52,56,7.27,IN,1691642401
297,yemva,62.59,50.8594,72.01,51,1,3.4,RU,1691642388
298,nordheim,49.1063,9.1219,56.48,99,7,1.63,DE,1691642402
299,shetpe,44.1667,52.1167,87.58,40,0,8.12,KZ,1691642402
300,ishigaki,24.3448,124.1572,87.93,84,20,9.22,JP,1691642403
301,cole harbour,44.6724,-63.4751,67.39,93,86,10.36,CA,1691642304
302,cheremushki,52.8356,91.3944,76.51,41,55,2.06,RU,1691642403
303,san antonio de pale,-1.4014,5.6325,74.5,78,94,12.01,GQ,1691642404
304,torrington,41.8007,-73.1212,68.54,91,17,2.75,US,1691642404
305,aldan,58.6031,125.3894,79.11,42,10,14.72,RU,1691642404
306,guatrache,-37.6678,-63.5302,53.55,63,100,16.62,AR,1691642405
307,ancud,-41.8697,-73.8203,50.04,91,100,15.7,CL,1691642239
308,luena,-11.7833,19.9167,52.2,49,9,4.74,AO,1691642405
309,tara,56.8944,74.371,62.06,57,97,5.88,RU,1691642405
310,cambria,35.5641,-121.0808,64.78,94,26,2.89,US,1691642228
311,bam,29.106,58.357,91.4,15,15,13.78,IR,1691642406
312,kapuskasing,49.4169,-82.4331,59.09,88,100,6.91,CA,1691642406
313,juegang,32.3174,121.1855,86.29,67,7,12.93,CN,1691642406
314,san julian,21.0167,-102.1667,58.03,94,100,2.35,MX,1691642407
315,yuzhno-kurilsk,44.0306,145.8556,71.35,90,100,14.32,RU,1691642407
316,palmas,-10.2128,-48.3603,75.07,60,0,1.14,BR,1691642407
317,emerald,-23.5333,148.1667,74.34,38,0,5.19,AU,1691642408
318,lengshuijiang,27.6881,111.4294,92.05,51,1,6.04,CN,1691642408
319,obsharovka,53.125,48.8531,79.7,36,0,1.99,RU,1691642408
320,belousovka,50.1339,82.5239,77.85,44,22,8.95,KZ,1691642408
321,bac kan,22.1333,105.8333,82.53,94,98,0.81,VN,1691642409
322,klyuchi,52.2667,79.1667,83.93,28,86,6.71,RU,1691642297
323,cromwell,41.5951,-72.6454,72.64,88,0,0.0,US,1691642408
324,usinsk,65.9939,57.5281,60.98,59,3,9.82,RU,1691642410
325,mani,4.8172,-72.2886,75.2,84,89,3.56,CO,1691642410
326,qamdo,31.1667,97.2333,64.74,42,87,5.32,CN,1691642410
327,hammerfest,70.6634,23.6821,72.05,64,0,2.3,NO,1691642410
328,ojuelos de jalisco,21.8667,-101.5833,60.06,79,79,12.88,MX,1691642411
329,lai chau,22.3997,103.4517,75.92,91,100,1.88,VN,1691642411
330,troitsko-pechorsk,62.7084,56.1964,67.39,53,84,6.22,RU,1691642411
331,luanda,-8.8368,13.2343,66.2,88,37,1.14,AO,1691642411
332,sao jose da coroa grande,-8.8978,-35.1478,73.44,78,5,7.54,BR,1691642376
333,agat village,13.3886,144.6585,85.35,80,0,11.5,GU,1691642412
334,nar'yan-mar,67.6713,53.087,61.41,66,0,6.58,RU,1691642412
335,miquelon,47.0975,-56.3814,59.0,94,100,34.72,PM,1691642412
336,temerluh,3.4506,102.4176,83.98,89,96,1.01,MY,1691642153
337,galliano,29.4422,-90.2992,86.0,70,0,6.91,US,1691642413
338,walvis bay,-22.9575,14.5053,56.08,82,90,2.64,NA,1691642355
339,yur'yevets,57.3201,43.1041,68.47,67,20,6.91,RU,1691642414
340,santa cruz,-17.8,-63.1667,71.06,83,12,8.05,BO,1691642275
341,lorengau,-2.0226,147.2712,81.88,81,95,17.05,PG,1691642414
342,bodden town,19.2833,-81.25,85.93,90,23,11.25,KY,1691642414
343,trancas,-26.2314,-65.2803,55.89,57,38,2.59,AR,1691642415
344,chaeryong-up,38.3992,125.6156,77.38,77,100,16.82,KP,1691642415
345,baiao,-2.7906,-49.6717,71.38,98,57,2.77,BR,1691642415
346,sayalkudi,9.1833,78.45,88.05,58,100,1.21,IN,1691642416
347,chhor,25.5167,69.7667,91.8,51,21,20.94,PK,1691642416
348,anajatuba,-3.2644,-44.6197,72.48,98,61,3.78,BR,1691642416
349,gaspe,48.8334,-64.4819,61.02,100,100,12.66,CA,1691642146
350,vilyuchinsk,52.9306,158.4028,70.07,71,15,4.88,RU,1691642345
351,kyaukse,21.6,96.1333,83.03,70,100,11.27,MM,1691642417
352,forster,-32.1667,152.5167,73.29,36,6,2.66,AU,1691642417
353,palamos,41.8484,3.1291,76.28,46,35,1.99,ES,1691642417
354,mlawa,53.1128,20.3841,54.63,79,100,5.03,PL,1691642418
355,zhelezinka,53.54,75.3072,82.18,29,5,7.58,KZ,1691642418
356,waspan,14.7419,-83.9717,76.33,94,90,2.59,NI,1691642418
357,northam,51.0333,-4.2167,61.61,84,2,11.14,GB,1691642419
358,hithadhoo,-0.6,73.0833,81.28,74,73,5.95,MV,1691642258
359,holualoa,19.6228,-155.9522,82.24,72,75,8.05,US,1691642419
360,tarrafal de sao nicolau,16.5667,-24.3667,77.65,73,84,15.48,CV,1691642419
361,saudarkrokur,65.7461,-19.6394,42.66,86,78,9.19,IS,1691642420
362,jiexiu,37.0244,111.9125,92.95,34,34,4.14,CN,1691642352
363,sao pedro do sul,-29.6206,-54.1789,54.55,99,53,3.27,BR,1691642420
